"Age","Proportion","Proportion_L","Proportion_H","Study","Type","meanAge"
"0-4",0.003,0.002,0.004,"Driscoll","IFR",2
"5-9",0.001,0,0.001,"Driscoll","IFR",7
"10-14",0.001,0.001,0.001,"Driscoll","IFR",12
"15-19",0.003,0.002,0.003,"Driscoll","IFR",17
"20-24",0.006,0.005,0.008,"Driscoll","IFR",22
"25-29",0.013,0.011,0.015,"Driscoll","IFR",27
"30-34",0.024,0.021,0.028,"Driscoll","IFR",32
"35-39",0.04,0.034,0.047,"Driscoll","IFR",37
"40-44",0.075,0.064,0.087,"Driscoll","IFR",42
"45-49",0.121,0.104,0.14,"Driscoll","IFR",47
"50-54",0.207,0.177,0.239,"Driscoll","IFR",52
"55-59",0.323,0.277,0.373,"Driscoll","IFR",57
"60-64",0.456,0.392,0.527,"Driscoll","IFR",62
"65-69",1.075,0.921,1.244,"Driscoll","IFR",67
"70-74",1.674,1.435,1.937,"Driscoll","IFR",72
"75-79",3.203,2.744,3.705,"Driscoll","IFR",77
"80+",8.292,7.105,9.593,"Driscoll","IFR",85
"0-9",0.01,0,0.06,"Brazeau","IFR",4.5
"10-14",0.01,0,0.11,"Brazeau","IFR",12
"15-19",0.02,0,0.18,"Brazeau","IFR",17
"20-24",0.03,0,0.3,"Brazeau","IFR",22
"25-29",0.04,0,0.46,"Brazeau","IFR",27
"30-34",0.06,0.01,0.71,"Brazeau","IFR",32
"35-39",0.1,0.01,1.03,"Brazeau","IFR",37
"40-44",0.16,0.02,1.47,"Brazeau","IFR",42
"45-49",0.24,0.03,2.03,"Brazeau","IFR",47
"50-54",0.38,0.05,2.74,"Brazeau","IFR",52
"55-59",0.6,0.1,3.64,"Brazeau","IFR",57
"60-64",0.94,0.18,4.79,"Brazeau","IFR",62
"65-69",1.47,0.35,6.27,"Brazeau","IFR",67
"70-74",2.31,0.65,8.21,"Brazeau","IFR",72
"75-79",3.61,1.21,10.8,"Brazeau","IFR",77
"80-84",5.66,2.23,14.3,"Brazeau","IFR",82
"85-89",8.86,4.06,19.3,"Brazeau","IFR",87
"90+",17.37,9.7,31.12,"Brazeau","IFR",90
"0-9",0.001,7e-04,0.0013,"Levin","IFR",4.5
"10-19",0.003,0.002,0.004,"Levin","IFR",14.5
"20-29",0.011,0.009,0.013,"Levin","IFR",24.5
"30-39",0.035,0.03,0.042,"Levin","IFR",34.5
"40-49",0.116,0.101,0.134,"Levin","IFR",44.5
"50-59",0.384,0.335,0.441,"Levin","IFR",54.5
"60-69",1.27,1.09,1.49,"Levin","IFR",64.5
"70-79",4.19,3.45,5.1,"Levin","IFR",74.5
"80+",15.61,12.2,20,"Levin","IFR",85
"0-9",0,0,0,"Verity","IHR",4.5
"10-19",0.0408,0.0243,0.0832,"Verity","IHR",14.5
"20-29",1.04,0.622,2.13,"Verity","IHR",24.5
"30-39",3.43,2.04,7,"Verity","IHR",34.5
"40-49",4.25,2.53,8.68,"Verity","IHR",44.5
"50-59",8.16,4.86,16.7,"Verity","IHR",54.5
"60-69",11.8,7.01,24,"Verity","IHR",64.5
"70-79",16.6,9.87,33.8,"Verity","IHR",74.5
"80+",18.4,11,37.6,"Verity","IHR",85
"0-20",0.1,0.08,0.2,"Salje","IHR",10
"20-29",0.5,0.3,0.8,"Salje","IHR",24.5
"30-39",1.1,0.6,1.7,"Salje","IHR",34.5
"40-49",1.4,0.8,2.3,"Salje","IHR",44.5
"50-59",2.9,1.6,4.7,"Salje","IHR",54.5
"60-69",5.8,3.3,9.5,"Salje","IHR",64.5
"70-79",9.3,5.2,15.1,"Salje","IHR",74.5
"80+",26.2,14.8,42.7,"Salje","IHR",85
"18-39",0.4,0.3,0.6,"Menachemi","IHR",28.5
"40-59",2.3,1.5,3.8,"Menachemi","IHR",49.5
"60+",9.2,6.4,14.9,"Menachemi","IHR",75
"18-29",0.8,0.36,NA,"Mahajan","IHR",23.5
"30-44",2.68,1.38,43.85,"Mahajan","IHR",37
"45-54",3.09,1.81,10.74,"Mahajan","IHR",49.5
"55-64",12.43,6.46,NA,"Mahajan","IHR",59.5
"65+",79.89,31.96,NA,"Mahajan","IHR",77.5
"12-17",0.22,NA,NA,"Espenhain","IHR",14.5
"18-39",0.76,NA,NA,"Espenhain","IHR",28.5
"40-64",3,NA,NA,"Espenhain","IHR",52
"65+",12,NA,NA,"Espenhain","IHR",77.5
"0-9",0.806,0.785,0.82,"Seedat","IHR",4.5
"10-19",0.715,0.696,0.727,"Seedat","IHR",14.5
"20-29",0.719,0.702,0.728,"Seedat","IHR",24.5
"30-39",1.007,0.988,1.018,"Seedat","IHR",34.5
"40-49",1.6,1.565,1.617,"Seedat","IHR",44.5
"50-59",26.35,2.569,2.668,"Seedat","IHR",54.5
"60-69",6.46,5.882,6.153,"Seedat","IHR",64.5
"70-79",9.984,9.723,10.165,"Seedat","IHR",74.5
"80+",3.63,3.576,3.737,"Seedat","IHR",85
