altersklasse_covid19,geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
0 - 9,CH,202009,0,0,NA,NA,873043,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10 - 19,CH,202009,0,0,NA,NA,844155,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20 - 29,CH,202009,0,0,NA,NA,1045350,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
30 - 39,CH,202009,0,0,NA,NA,1229176,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40 - 49,CH,202009,0,0,NA,NA,1198325,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50 - 59,CH,202009,0,0,NA,NA,1292837,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
60 - 69,CH,202009,0,0,NA,NA,947959,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
70 - 79,CH,202009,0,0,NA,NA,721518,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
80+,CH,202009,0,0,NA,NA,453670,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Unbekannt,CH,202009,0,0,NA,NA,NA,NA,NA,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0 - 9,CH,202010,0,0,0,0,873043,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10 - 19,CH,202010,0,0,0,0,844155,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20 - 29,CH,202010,0,0,0,0,1045350,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
30 - 39,CH,202010,0,0,0,0,1229176,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40 - 49,CH,202010,0,0,0,0,1198325,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50 - 59,CH,202010,0,0,0,0,1292837,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
60 - 69,CH,202010,1,1,0.333,33.300000000000004,947959,0.11,0.11,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,1,0.11,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
70 - 79,CH,202010,2,2,0.667,66.7,721518,0.28,0.28,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,2,0.28,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
80+,CH,202010,0,0,0,0,453670,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Unbekannt,CH,202010,0,0,0,0,NA,NA,NA,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,0,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0 - 9,CH,202011,0,0,0,0,873043,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-11,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10 - 19,CH,202011,0,0,0,0,844155,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-11,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20 - 29,CH,202011,0,0,0,0,1045350,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-11,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
30 - 39,CH,202011,1,1,0.04,4,1229176,0.08,0.08,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-11,1,0.08,NA,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40 - 49,CH,202011,0,0,0,0,1198325,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-11,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50 - 59,CH,202011,1,1,0.04,4,1292837,0.08,0.08,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-11,1,0.08,NA,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
60 - 69,CH,202011,2,3,0.08,8,947959,0.21,0.32,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-11,1,0.1,100,-25.300000000000004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
70 - 79,CH,202011,5,7,0.2,20,721518,0.69,0.97,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-11,3,0.41,150,-46.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
80+,CH,202011,16,16,0.64,64,453670,3.53,3.53,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-11,16,3.53,NA,64,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Unbekannt,CH,202011,0,0,0,0,NA,NA,NA,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-11,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0 - 9,CH,202012,0,0,0,0,873043,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-12,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10 - 19,CH,202012,0,0,0,0,844155,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-12,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20 - 29,CH,202012,0,0,0,0,1045350,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-12,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
30 - 39,CH,202012,0,1,0,0,1229176,0,0.08,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-12,-1,-0.08,-100,-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40 - 49,CH,202012,2,2,0.02,2,1198325,0.17,0.17,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-12,2,0.17,NA,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50 - 59,CH,202012,3,4,0.03,3,1292837,0.23,0.31,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-12,2,0.15,200,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
60 - 69,CH,202012,6,9,0.061,6.1,947959,0.63,0.95,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-12,4,0.42,200,-1.9000000000000004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
70 - 79,CH,202012,26,33,0.263,26.3,721518,3.6,4.57,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-12,21,2.91,420,6.300000000000001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
80+,CH,202012,62,78,0.626,62.6,453670,13.67,17.19,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-12,46,10.14,287.5,-1.3999999999999986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Unbekannt,CH,202012,0,0,0,0,NA,NA,NA,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-12,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0 - 9,CH,202013,0,0,0,0,873043,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-13,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10 - 19,CH,202013,0,0,0,0,844155,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-13,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20 - 29,CH,202013,0,0,0,0,1045350,0,0,COVID19Death,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-13,0,0,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
