altersklasse_covid19,geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
0 - 9,CH,202009,2,2,0.038,3.8,873043,0.23,0.23,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10 - 19,CH,202009,0,0,0,0,844155,0,0,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20 - 29,CH,202009,6,6,0.115,11.5,1045350,0.57,0.57,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
30 - 39,CH,202009,8,8,0.154,15.4,1229176,0.65,0.65,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40 - 49,CH,202009,3,3,0.058,5.800000000000001,1198325,0.25,0.25,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50 - 59,CH,202009,6,6,0.115,11.5,1292837,0.46,0.46,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
60 - 69,CH,202009,3,3,0.058,5.800000000000001,947959,0.32,0.32,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
70 - 79,CH,202009,8,8,0.154,15.4,721518,1.11,1.11,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
80+,CH,202009,16,16,0.308,30.8,453670,3.53,3.53,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Unbekannt,CH,202009,0,0,0,0,NA,NA,NA,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0 - 9,CH,202010,1,3,0.009,0.8999999999999999,873043,0.11,0.34,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,-1,-0.12,-50,-2.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10 - 19,CH,202010,1,1,0.009,0.8999999999999999,844155,0.12,0.12,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,1,0.12,NA,0.8999999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20 - 29,CH,202010,5,11,0.045,4.5,1045350,0.48,1.05,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,-1,-0.09,-16.7,-7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
30 - 39,CH,202010,4,12,0.036,3.5999999999999996,1229176,0.33,0.98,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,-4,-0.32,-50,-11.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40 - 49,CH,202010,11,14,0.099,9.9,1198325,0.92,1.17,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,8,0.67,266.7,4.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50 - 59,CH,202010,14,20,0.126,12.6,1292837,1.08,1.55,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,8,0.62,133.3,1.0999999999999996,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
60 - 69,CH,202010,17,20,0.153,15.299999999999999,947959,1.79,2.11,COVID19Hosp,altersklasse_covid19,2021-07-05_07-52-52,isoweek,2020-10,14,1.47,466.7,9.499999999999998,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
